1530000,6.99221,7.05527,6.85643
1540000,6.99159,7.07912,6.84961
1550000,7.00184,7.05081,6.84753
1560000,7.01454,7.06984,6.84043
1570000,7.03242,7.091,6.85642
1580000,7.07926,7.0953,6.83606
1590000,7.09261,7.08282,6.85189
1600000,7.09883,7.09077,6.88995
1610000,7.09136,7.11362,6.9056
1620000,7.09136,7.12613,6.90989
1630000,7.14566,7.11195,6.92361
1640000,7.1662,7.08039,6.95097
1650000,7.19406,7.07798,6.96659
1660000,7.21111,7.09473,6.98078
1670000,7.23351,7.07626,6.98831
1680000,7.27095,7.07551,7.01132
1690000,7.27407,7.05753,7.0151
1700000,7.27468,7.04443,6.99799
1710000,7.2666,7.04721,7.00765
1720000,7.26826,7.02971,7.02316
1730000,7.25448,7.02441,7.04112
1740000,7.27492,7.01762,7.07391
1750000,7.2641,7.01978,7.10498
1760000,7.26473,7.02981,7.12514
1770000,7.2527,7.02592,7.13368
1780000,7.27462,7.05703,7.15675
1790000,7.28174,7.0699,7.17336
1800000,7.34136,7.04677,7.18566
1810000,7.37559,7.04658,7.18232
1820000,7.39341,7.03671,7.17677
1830000,7.40467,7.0116,7.19721
1840000,7.43621,7.00457,7.21536
1850000,7.44748,6.97659,7.21399
1860000,7.43122,6.95851,7.21852
1870000,7.43061,6.97313,7.23396
1880000,7.45069,6.98198,7.25783
1890000,7.48745,6.99265,7.2399
1900000,7.46738,7.02688,7.23917
1910000,7.49704,7.03874,7.279
1920000,7.5175,7.04242,7.31864
1930000,7.53473,7.08029,7.34706
1940000,7.51428,7.13621,7.36407
1950000,7.50437,7.16442,7.37597
1960000,7.50602,7.18611,7.35988
1970000,7.52516,7.17074,7.39209
1980000,7.57653,7.18606,7.40855
1990000,7.62993,7.2146,7.44752
2000000,7.67593,7.23513,7.42555
2010000,7.69904,7.23306,7.4388
2020000,7.73433,7.24527,7.42613
2030000,7.75489,7.21661,7.39001
2040000,7.7432,7.20671,7.36379
2050000,7.74923,7.20731,7.35805
2060000,7.70481,7.18903,7.34095
2070000,7.70779,7.19658,7.35092
2080000,7.73249,7.20085,7.36797
2090000,7.75948,7.20467,7.38784
2100000,7.77371,7.2135,7.39898
2110000,7.7579,7.19712,7.39799
2120000,7.78467,7.21095,7.37577
2130000,7.79895,7.21672,7.38918
2140000,7.79782,7.2288,7.41375
2150000,7.82049,7.2511,7.43697
2160000,7.81714,7.27417,7.40505
2170000,7.82764,7.27375,7.37491
2180000,7.8247,7.27885,7.37047
2190000,7.84173,7.25678,7.3705
2200000,7.83031,7.27429,7.38894
2210000,7.86099,7.27478,7.41345
2220000,7.86621,7.29114,7.4533
2230000,7.92199,7.3024,7.48636
2240000,7.95308,7.29935,7.5306
2250000,7.95432,7.30988,7.53121
2260000,7.93286,7.32638,7.56478
2270000,7.93311,7.28517,7.55397
2280000,7.92988,7.28529,7.55373
2290000,7.92982,7.27405,7.5676
2300000,7.98802,7.27108,7.57093
2310000,7.99922,7.25682,7.57511
2320000,7.99931,7.24466,7.5937
2330000,7.96765,7.22157,7.58971
2340000,7.99548,7.20994,7.61045
2350000,8.02028,7.23778,7.59123
2360000,8.05355,7.26074,7.56895
2370000,8.0746,7.27724,7.57004
2380000,8.10664,7.28135,7.54811
2390000,8.14146,7.28115,7.57548
2400000,8.16008,7.27667,7.58205
2410000,8.18781,7.29103,7.58904
2420000,8.21151,7.28962,7.55667
2430000,8.245,7.31317,7.56252
2440000,8.28743,7.35263,7.54204
2450000,8.28894,7.35147,7.54228
2460000,8.29662,7.31554,7.54602
2470000,8.30392,7.3282,7.51527
